,level,temp_1,temp_2,efficient,time,target,class
0,0,296.4,307.4,15864.8,213,1,PWF
1,1,295.8,306.3,94107.0,89,1,PWF
2,0,295.7,306.2,33142.0,149,1,PWF
3,1,296.3,307.1,51849.2,151,0,Normal
4,2,296.3,307.1,45946.6,154,0,Normal
5,1,296.2,307.0,38777.700000000004,159,0,Normal
6,0,296.2,307.0,68296.2,162,0,Normal
7,1,296.1,307.0,63966.0,164,0,Normal
8,0,296.1,307.1,58940.700000000004,167,0,Normal
9,1,296.1,307.1,53460.0,169,0,Normal
10,1,296.2,307.2,74051.2,172,0,Normal
11,0,296.3,307.3,56062.799999999996,175,0,Normal
12,1,296.3,307.2,65714.6,177,0,Normal
13,1,296.3,307.2,66371.4,180,0,Normal
14,1,296.4,307.2,40177.399999999994,183,0,Normal
15,0,296.3,307.1,51792.00000000001,186,0,Normal
16,0,296.3,307.1,48958.4,188,0,Normal
17,0,296.3,307.1,54679.799999999996,190,0,Normal
18,0,296.3,307.2,57610.0,192,0,Normal
19,0,296.2,307.1,67434.8,194,0,Normal
20,2,296.3,307.2,59808.0,196,0,Normal
21,0,296.2,307.2,71864.0,201,0,Normal
22,0,296.2,307.1,75454.2,203,0,Normal
23,1,296.2,307.2,50786.3,0,0,Normal
24,0,296.2,307.1,60089.700000000004,3,0,Normal
25,1,296.2,307.2,60940.0,5,0,Normal
26,1,296.2,307.2,54009.6,8,0,Normal
27,1,296.2,307.3,62102.799999999996,11,0,Normal
28,1,296.1,307.1,55170.5,14,0,Normal
29,1,296.1,307.2,48084.299999999996,17,0,Normal
30,0,296.2,307.2,60400.99999999999,20,0,Normal
31,0,296.2,307.2,59121.6,22,0,Normal
32,1,296.3,307.2,90087.7,24,1,PWF
33,0,296.3,307.2,51729.200000000004,27,0,Normal
34,0,296.3,307.2,75652.6,29,0,Normal
35,0,296.3,307.3,73674.6,31,0,Normal
36,0,296.3,307.3,79164.40000000001,33,0,Normal
37,1,296.3,307.2,61795.0,35,0,Normal
38,0,296.2,307.2,55297.5,38,0,Normal
39,0,296.2,307.3,45708.3,40,0,Normal
40,0,296.2,307.3,51158.899999999994,42,0,Normal
41,0,296.2,307.3,54575.0,44,0,Normal
42,0,296.4,307.4,55641.6,46,0,Normal
43,1,296.3,307.4,67417.5,48,0,Normal
44,0,296.3,307.4,58732.799999999996,51,0,Normal
45,1,296.2,307.3,51990.4,53,0,Normal
46,0,296.3,307.4,49984.0,56,0,Normal
47,0,296.4,307.5,55918.9,58,0,Normal
48,0,296.3,307.4,56032.0,60,0,Normal
49,2,296.4,307.5,59128.0,62,0,Normal
50,1,296.3,307.4,37397.8,67,0,Normal
51,0,296.4,307.4,67905.2,70,0,Normal
52,1,296.4,307.5,52877.6,72,0,Normal
53,2,296.4,307.5,56019.600000000006,75,0,Normal
54,0,296.6,307.6,61567.8,80,0,Normal
55,0,296.7,307.7,56083.2,82,0,Normal
56,0,296.7,307.7,65937.8,84,0,Normal
57,0,296.6,307.6,45405.9,86,0,Normal
58,0,296.6,307.6,57670.799999999996,88,0,Normal
59,0,296.5,307.6,64681.200000000004,90,0,Normal
60,0,296.5,307.6,65923.2,92,0,Normal
61,2,296.4,307.5,74078.4,94,0,Normal
62,0,296.4,307.5,63621.799999999996,99,0,Normal
63,1,296.6,307.7,77532.40000000001,101,0,Normal
64,0,296.5,307.6,53834.5,104,0,Normal
65,0,296.5,307.6,62543.00000000001,106,0,Normal
66,0,296.6,307.6,48124.8,108,0,Normal
67,0,296.6,307.7,58661.200000000004,110,0,Normal
68,0,296.7,307.7,46055.299999999996,112,0,Normal
69,1,296.7,307.7,51263.700000000004,114,0,Normal
70,2,296.8,307.8,49623.5,117,0,Normal
71,0,296.8,307.8,58312.0,122,0,Normal
72,0,296.8,307.8,61817.5,124,0,Normal
73,0,296.8,307.8,57257.2,126,0,Normal
74,0,296.7,307.8,50236.5,128,0,Normal
75,1,296.7,307.9,39916.200000000004,130,0,Normal
76,2,296.7,307.9,76611.2,133,0,Normal
77,0,296.7,307.9,71142.0,138,0,Normal
78,0,296.8,307.9,67228.0,140,0,Normal
79,1,296.8,307.8,54579.2,142,0,Normal
80,1,296.8,307.9,62418.7,145,0,Normal
81,0,296.8,307.9,43293.6,148,0,Normal
82,1,296.9,307.8,62223.2,150,0,Normal
83,0,296.9,307.8,66996.2,153,0,Normal
84,0,296.8,307.8,66493.8,155,0,Normal
85,1,296.9,307.8,45264.0,157,0,Normal
86,1,296.9,307.8,54944.4,160,0,Normal
87,0,296.9,307.8,69967.5,163,0,Normal
88,1,297.0,307.9,65326.8,165,0,Normal
89,0,297.0,307.8,67165.0,168,0,Normal
90,0,297.0,307.9,50561.5,170,0,Normal
91,2,296.9,307.8,73302.5,172,0,Normal
92,0,296.9,307.7,59342.7,177,0,Normal
93,0,296.8,307.6,56465.5,179,0,Normal
94,2,296.9,307.7,51004.8,181,0,Normal
95,0,297.0,307.7,49333.5,186,0,Normal
96,0,297.0,307.8,49672.0,188,0,Normal
97,0,297.0,307.8,61144.200000000004,190,0,Normal
98,2,297.1,307.9,56515.99999999999,192,0,Normal
99,0,297.0,307.8,54360.899999999994,197,0,Normal
100,1,297.0,307.7,70555.8,199,0,Normal
101,0,297.0,307.8,78114.0,202,1,OSF
102,0,297.0,307.9,71295.0,204,0,Normal
103,1,296.9,307.8,61108.799999999996,0,0,Normal
104,1,296.9,307.7,35140.0,3,0,Normal
105,0,296.9,307.7,60609.6,6,0,Normal
106,0,297.0,307.7,67140.8,8,0,Normal
107,1,296.9,307.6,53920.0,10,0,Normal
108,1,296.8,307.5,56565.600000000006,13,0,Normal
109,0,296.9,307.5,60117.6,16,0,Normal
110,0,296.9,307.5,25305.300000000003,18,1,PWF
111,0,297.0,307.6,60143.99999999999,20,0,Normal
112,2,296.9,307.5,67475.09999999999,22,0,Normal
113,1,296.9,307.4,57645.9,27,0,Normal
114,1,296.8,307.4,64620.799999999996,30,0,Normal
115,2,296.8,307.5,50850.0,33,0,Normal
116,2,296.7,307.5,53995.200000000004,38,0,Normal
117,0,296.8,307.5,73815.59999999999,43,0,Normal
118,1,296.7,307.4,59598.00000000001,45,0,Normal
119,0,296.6,307.4,59310.3,48,0,Normal
120,1,296.6,307.5,46818.0,50,0,Normal
121,0,296.7,307.6,59444.0,53,0,Normal
122,1,296.7,307.5,63781.5,55,0,Normal
123,0,296.6,307.4,68883.2,58,0,Normal
124,0,296.6,307.5,54650.700000000004,60,0,Normal
125,0,296.5,307.4,67830.0,62,0,Normal
126,2,296.5,307.4,70454.40000000001,64,0,Normal
127,1,296.5,307.4,75060.0,69,0,Normal
128,1,296.6,307.4,46182.0,72,0,Normal
129,2,296.4,307.3,57596.0,75,0,Normal
130,1,296.4,307.3,39670.700000000004,80,0,Normal
131,0,296.4,307.3,55762.5,83,0,Normal
132,0,296.5,307.4,61986.100000000006,85,0,Normal
133,0,296.5,307.5,60317.399999999994,87,0,Normal
134,0,296.5,307.5,79194.0,89,0,Normal
135,2,296.6,307.7,51274.0,91,0,Normal
136,0,296.6,307.6,58651.8,96,0,Normal
137,0,296.5,307.6,59328.5,98,0,Normal
138,2,296.6,307.7,86347.8,100,1,PWF
139,1,296.7,307.8,86802.0,105,1,PWF
140,1,296.7,307.8,70675.0,108,0,Normal
141,0,296.8,307.9,52544.8,111,0,Normal
142,1,296.7,307.8,54172.799999999996,113,0,Normal
143,1,296.8,307.9,46443.6,116,0,Normal
144,0,296.7,307.9,50024.0,119,0,Normal
145,0,296.8,307.9,65704.5,121,0,Normal
146,0,296.8,307.9,49732.6,123,0,Normal
147,0,296.8,307.9,78039.4,125,0,Normal
148,1,296.8,307.9,67922.2,127,0,Normal
149,1,296.9,307.8,72298.2,130,0,Normal
150,0,296.9,307.9,60172.00000000001,133,0,Normal
151,0,296.9,307.8,59321.700000000004,135,0,Normal
152,0,296.9,307.8,49094.1,137,0,Normal
153,0,296.9,307.9,59696.0,139,0,Normal
154,1,297.0,307.9,52247.7,141,0,Normal
155,1,296.9,307.9,62047.99999999999,144,0,Normal
156,0,297.0,307.9,51666.0,147,0,Normal
157,0,296.9,307.9,62469.7,149,0,Normal
158,0,297.0,307.9,57976.8,151,0,Normal
159,0,297.0,307.9,89553.59999999999,153,1,PWF
160,0,297.0,307.8,51714.899999999994,155,0,Normal
161,0,297.0,307.9,64523.8,157,0,Normal
162,1,297.1,308.0,43264.0,159,0,Normal
163,0,297.1,308.0,78184.0,162,0,Normal
164,0,297.2,308.1,55671.0,164,0,Normal
165,0,297.1,307.9,72800.0,166,0,Normal
166,0,297.0,307.9,64395.00000000001,168,0,Normal
167,0,297.1,307.9,57718.1,170,0,Normal
168,2,297.0,307.9,66028.8,172,0,Normal
169,0,296.9,307.9,48617.399999999994,177,0,Normal
170,2,297.0,307.9,50395.8,179,0,Normal
171,2,297.0,307.8,57142.8,184,0,Normal
172,0,297.0,307.8,58887.600000000006,189,0,Normal
173,0,297.0,307.9,68497.2,191,0,Normal
174,0,297.0,307.8,57280.4,193,0,Normal
175,2,297.0,307.7,43649.200000000004,195,0,Normal
176,0,297.0,307.8,80539.2,200,1,OSF
177,0,296.9,307.8,79940.0,202,1,OSF
178,0,296.9,307.9,64385.700000000004,204,0,Normal
179,0,297.1,308.1,53146.200000000004,206,0,Normal
180,0,297.1,308.1,51450.200000000004,208,0,Normal
181,1,297.1,308.1,56776.200000000004,210,0,Normal
182,0,297.0,308.1,71505.0,213,1,OSF
183,0,297.1,308.1,58291.2,215,0,Normal
184,0,297.0,308.1,59213.50000000001,217,0,Normal
185,1,297.1,308.1,44298.9,219,0,Normal
186,2,297.0,308.1,62803.799999999996,222,0,Normal
187,0,297.1,308.1,52923.6,227,0,Normal
188,2,297.1,308.0,60489.2,229,0,Normal
189,1,297.1,308.1,60028.799999999996,0,0,Normal
190,1,297.2,308.3,59648.399999999994,3,0,Normal
191,1,297.2,308.3,60018.0,6,0,Normal
192,1,297.2,308.3,63197.6,9,0,Normal
193,0,297.3,308.5,84439.2,12,0,Normal
194,0,297.3,308.4,62539.4,14,0,Normal
195,2,297.3,308.4,54503.6,16,0,Normal
196,0,297.2,308.3,71845.90000000001,21,0,Normal
197,0,297.3,308.3,67821.0,23,0,Normal
198,0,297.3,308.4,61276.5,25,0,Normal
199,0,297.3,308.5,71107.5,27,0,Normal
200,0,297.3,308.4,69331.5,29,0,Normal
