,调和平均温度,扭矩转速积,机器质量等级,运行时间
0,301.7998012586949,15864.8,0,213
1,300.95844544095667,94107.0,1,89
2,300.8584150191062,33142.0,0,149
3,301.6033476963872,51849.2,1,151
4,301.6033476963872,45946.6,2,154
5,301.5033156498674,38777.700000000004,1,159
6,301.5033156498674,68296.2,0,162
7,301.45150058033494,63966.0,1,164
8,301.49970159151195,58940.700000000004,0,167
9,301.49970159151195,53460.0,1,169
10,301.5997348359297,74051.2,1,172
11,301.69976805831675,56062.799999999996,0,175
12,301.65156586578297,65714.6,1,177
13,301.65156586578297,66371.4,1,180
14,301.70337972167,40177.399999999994,1,183
15,301.6033476963872,51792.00000000001,0,186
16,301.6033476963872,48958.4,0,188
17,301.6033476963872,54679.799999999996,0,190
18,301.65156586578297,57610.0,0,192
19,301.5515332338803,67434.8,0,194
20,301.65156586578297,59808.0,2,196
21,301.5997348359297,71864.0,0,201
22,301.5515332338803,75454.2,0,203
23,301.5997348359297,50786.3,1,0
24,301.5515332338803,60089.700000000004,0,3
25,301.5997348359297,60940.0,1,5
26,301.5997348359297,54009.6,1,8
27,301.6479204639602,62102.799999999996,1,11
28,301.49970159151195,55170.5,1,14
29,301.5478866235704,48084.299999999996,1,17
30,301.5997348359297,60400.99999999999,0,20
31,301.5997348359297,59121.6,0,22
32,301.65156586578297,90087.7,1,24
33,301.65156586578297,51729.200000000004,0,27
34,301.65156586578297,75652.6,0,29
35,301.69976805831675,73674.6,0,31
36,301.69976805831675,79164.40000000001,0,33
37,301.65156586578297,61795.0,1,35
38,301.5997348359297,55297.5,0,38
39,301.6479204639602,45708.3,0,40
40,301.6479204639602,51158.899999999994,0,42
41,301.6479204639602,54575.0,0,44
42,301.7998012586949,55641.6,0,46
43,301.7479542819281,67417.5,1,48
44,301.7479542819281,58732.799999999996,0,51
45,301.6479204639602,51990.4,1,53
46,301.7479542819281,49984.0,0,56
47,301.84798807749627,55918.9,0,58
48,301.7479542819281,56032.0,0,60
49,301.84798807749627,59128.0,2,62
50,301.7479542819281,37397.8,1,67
51,301.7998012586949,67905.2,0,70
52,301.84798807749627,52877.6,1,72
53,301.84798807749627,56019.600000000006,2,75
54,301.9998675935121,61567.8,0,80
55,302.0999007279947,56083.2,0,82
56,302.0999007279947,65937.8,0,84
57,301.9998675935121,45405.9,0,86
58,301.9998675935121,57670.799999999996,0,88
59,301.948021850687,64681.200000000004,0,90
60,301.948021850687,65923.2,0,92
61,301.84798807749627,74078.4,2,94
62,301.84798807749627,63621.799999999996,0,99
63,302.04805560152244,77532.40000000001,1,101
64,301.948021850687,53834.5,0,104
65,301.948021850687,62543.00000000001,0,106
66,301.9998675935121,48124.8,0,108
67,302.04805560152244,58661.200000000004,0,110
68,302.0999007279947,46055.299999999996,0,112
69,302.0999007279947,51263.700000000004,1,114
70,302.1999338405558,49623.5,2,117
71,302.1999338405558,58312.0,0,122
72,302.1999338405558,61817.5,0,124
73,302.1999338405558,57257.2,0,126
74,302.1480893300248,50236.5,0,128
75,302.19626199139924,39916.200000000004,1,130
76,302.19626199139924,76611.2,2,133
77,302.19626199139924,71142.0,0,138
78,302.2481230362163,67228.0,0,140
79,302.1999338405558,54579.2,1,142
80,302.2481230362163,62418.7,1,145
81,302.2481230362163,43293.6,0,148
82,302.2517612039028,62223.2,1,150
83,302.2517612039028,66996.2,0,153
84,302.1999338405558,66493.8,0,155
85,302.2517612039028,45264.0,1,157
86,302.2517612039028,54944.4,1,160
87,302.2517612039028,69967.5,0,163
88,302.3517936849066,65326.8,1,165
89,302.30357142857144,67165.0,0,168
90,302.3517936849066,50561.5,0,170
91,302.2517612039028,73302.5,2,172
92,302.2035395302679,59342.7,0,177
93,302.10350761085374,56465.5,0,179
94,302.2035395302679,51004.8,2,181
95,302.2553332230858,49333.5,0,186
96,302.30357142857144,49672.0,0,188
97,302.30357142857144,61144.200000000004,0,190
98,302.40360330578517,56515.99999999999,2,192
99,302.30357142857144,54360.899999999994,0,197
100,302.2553332230858,70555.8,1,199
101,302.30357142857144,78114.0,0,202
102,302.3517936849066,71295.0,0,204
103,302.2517612039028,61108.799999999996,1,0
104,302.2035395302679,35140.0,1,3
105,302.2035395302679,60609.6,0,6
106,302.2553332230858,67140.8,0,8
107,302.15530190239866,53920.0,1,10
108,302.05527056097964,56565.600000000006,1,13
109,302.1070483123759,60117.6,0,16
110,302.1070483123759,25305.300000000003,0,18
111,302.20707906053593,60143.99999999999,0,20
112,302.1070483123759,67475.09999999999,2,22
113,302.0587787522753,57645.9,1,27
114,302.0070175438596,64620.799999999996,1,30
115,302.05527056097964,50850.0,2,33
116,302.00347567030786,53995.200000000004,2,38
117,302.05527056097964,73815.59999999999,0,43
118,301.95523919880816,59598.00000000001,1,45
119,301.90344370860925,59310.3,0,48
120,301.95166363184904,46818.0,1,50
121,302.05169617739534,59444.0,0,53
122,302.00347567030786,63781.5,1,55
123,301.90344370860925,68883.2,0,58
124,301.95166363184904,54650.700000000004,0,60
125,301.8516310647458,67830.0,0,62
126,301.8516310647458,70454.40000000001,2,64
127,301.8516310647458,75060.0,1,69
